HostFName	HostGName	HostSpName	HostSSpName	HostAuthorName
Myrtaceae	Cloezia	artensis		(Montrouz.) P.S. Green
Amaranthaceae	Ptilotus	arthrolasius		F. Muell.
Solanaceae	Solanum	ashbyae		Symon
Proteaceae	Banksia	ashbyi		Baker f.
Myrtaceae	Aluta	aspera	hesperia	Rye & Trudgen
Myrtaceae	Aluta	aspera	aspera	(E. Pritz.) Rye & Trudgen
Myrtaceae	Thryptomene	aspera	aspera	E.Pritz.
Cyperaceae	Gahnia	aspera		(R. Br.) Spreng.
Myrtaceae	Thryptomene	aspera glabra		E. Pritz.
Araliaceae	Astrotricha	asperifolia		Klatt
Myrtaceae	Eucalyptus	aspratilis		L.A.S. Johnson & K.D. Hill
Fabaceae	Acacia	assimilis	assimilis	S. Moore
Chenopodiaceae	Neobassia	astrocarpa		(F. Muell.) A.J. Scott
Capparidaceae	Capparis	atamisquea		Kuntze
Solanaceae	Solanum	atriplicifolium		Gillies ex Nees
Lamiaceae	Pityrodia	atriplicina		(F. Muell.) Benth.
Papilionaceae	Isotropis	atropurpurea		F.Muell.
Proteaceae	Banksia	attenuata		R. Br.
Proteaceae	Banksia	attenuata		R.Br.
Scrophulariaceae	Mimulus	aurantiacus	var. pubescens	(Torr) D. Thompson
Scrophulariaceae	Mimulus	aurantiacus	var. pubescens	(Torr.) D. Thompson
Lauraceae	Cassytha	aurea	var. aurea	J.Z. Weber
Myrtaceae	Homalocalyx	aureus		(C.A. Gardner) Craven
Chenopodiaceae	Chenopodium	auricomum		Lindley
Amaranthaceae	Ptilotus	auriculifolius		(Moq.) F. Muell.
Fabaceae-Mimosaceae	Acacia	auriculiformis		A. Cunn. ex Benth.
Asteraceae	Flaveria	australasica		Hook.
Geraniaceae	Pelargonium	australe	drummondii	Turcz.
Erythroxylaceae	Erythroxylum	australe		F.Muell
Malvaceae	Malva	australiana		M.F. Ray
Myrtaceae	Thryptomene	australis		Endl.
Xanthorrhoeaceae	Xanthorrhoea	australis		R. Br.
Chenopodiaceae	Salsola	australis		R.Br.
Chenopodiaceae	Suaeda	australis		(R. Br.) Moq.
Lamiaceae	Lycopus	australis		R. Br.
Ebenaceae	Diospyros	austro-africana		De Winter
Cunoniaceae	Cunonia	austrocaledonica		Brongn. ex Guillaumin
Asteraceae	Iva	axillaris		Pursh
Amaranthaceae	Ptilotus	axillaris		(Benth.) F. Muell.
Asteraceae	Olearia	axillaris		(DC.) Benth.
Proteaceae	Petrophile	axillaris		Meisn.
Asteraceae	Pegolettia	baccaridifolia		Less.
Chenopodiaceae	Rhagodia	baccata		(Labill.)Moq.
Chenopodiaceae	Rhagodia	baccata	baccata	(Labill.) Moq.
Chenopodiaceae	Rhagodia	baccata		(Labill.) Moq.
Fabaceae	Acacia	baileyana		F.Muell.
Fabaceae	Acacia	baileyana x ? dealbata (probably)		
Cupressaceae	Callitris	baileyi		
Euphorbiaceae	Petalostigma	banksii		Britten & S. Moore
Lamiaceae	Pityrodia	bartlingii		(Lehm.) Benth.
Chloanthaceae	Pityrodia	bartlingii		(Lehm.) Benth.
Sterculiaceae	Commersonia	bartramia		(L.) Merr.
Goodeniaceae	Scaevola	basedowii		Carolin
Myrtaceae	Eremaea	beaufortioides	var. beaufortioides	Benth.
Myrtaceae	Eremaea	beaufortioides		Benth.
