HostMNLUID	familyHostMNL	genusHostMNL	speciesHostMNL	subspeciesHostMNL	authorHostMNL	oldHOstAuthor	oldHOstFamily
15032	Myoporaceae	Eremophila	scoparia	no subspecies	(R. Br.) F. Muell	(R.Br.) F.Muell.	Scrophulariaceae
15032	Myoporaceae	Eremophila	scoparia	no subspecies	(R. Br.) F. Muell	(R. Br.) F. Muell.	Scrophulariaceae
2545	Chenopodiaceae	Maireana	sedifolia	no subspecies	(F. Muell.) P.G. Wilson	(F. Muell.) Paul G. Wilson	Chenopodiaceae
14461	Convolvulaceae	Calystegia	sepium	no subspecies	(L.) R. Br.	R. Br.	Convolvulaceae
12831	Scrophulariaceae	Eremophila	serrulata	no subspecies	Druce	(A.DC.) Druce	Scrophulariaceae
12831	Scrophulariaceae	Eremophila	serrulata	no subspecies	Druce	(A.DC.) Druce	Myoporaceae
10229	Lamiaceae	Salvia	sp.	no subspecies	none		Lamiaceae
10203	Betulaceae	Betula	sp.	no subspecies	none		Betulaceae
10196	Amaranthaceae	Atriplex	sp.	no subspecies	none		Chenopodiaceae
10344	Casuarinaceae	Allocasuarina	sp.	no subspecies	none		Casuarinaceae
10234	Amaranthaceae	Salsola	sp.	no subspecies	none		Chenopodiaceae
10357	Rhamnaceae	Stenanthemum	sp.	no subspecies	none		Rhamnaceae
10254	Tamaricaceae	Tamarix	sp.	no subspecies	none		Tamaricaceae
10247	Urticaceae	Urtica	sp.	no subspecies	none		Urticaceae
10399	Xanthorrhoeaceae	Xanthorrhoea	sp.	no subspecies	none		Xanthorrhoeaceae
10538	Euphorbiaceae	Homalanthus	sp.	no subspecies	none		Euphorbiaceae
10512	Santalaceae	Exocarpos	sp.	no subspecies	none		Santalaceae
10242	Platanaceae	Platanus	sp.	no subspecies	none		Platanaceae
10349	Proteaceae	Hakea	sp.	no subspecies	none		Proteaceae
10200	Ericaceae	Arctostaphylos	sp.	no subspecies	none		Ericaceae
10227	Ericaceae	Rhododendron	sp.	no subspecies	none		Ericaceae
10911	Caprifoliaceae	Lonicera	sp.	no subspecies	none		Caprifoliaceae
12785	Dilleniaceae	Hibbertia	sp.	no subspecies	none		Dilleniaceae
10376	Lamiaceae	Ballota	sp.	no subspecies	none		Lamiaceae
10476	Lamiaceae	Thymus	sp.	no subspecies	none		Labiatae
10629	Myrtaceae	Taxandria	sp.	no subspecies	none		Myrtaceae
10264	Polemoniaceae	Phlox	sp.	no subspecies	none		Polemoniaceae
10519	Cunoniaceae	Pancheria	sp.	no subspecies	none		Cunoniaceae
10341	Chenopodiaceae	Rhagodia	sp.	no subspecies	none		Chenopodiaceae
10343	Frankeniaceae	Frankenia	sp.	no subspecies	none		Frankeniaceae
10360	Thymelaeaceae	Pimelea	sp.	no subspecies	none		Thymelaeaceae
10328	Myrtaceae	Melaleuca	sp.	no subspecies	none		Myrtaceae
10390	Boraginaceae	Heliotropium	sp.	no subspecies	none		Boraginaceae
10609	Asteraceae	Carduus	sp.	no subspecies	none		Asteraceae
10208	Asteraceae	Hieracium	sp.	no subspecies	none		Compositae
10215	Fabaceae	Acacia	sp.	no subspecies	none	Mill.	Fabaceae
10143	Malvaceae	Sphaeralcea	sp.	no subspecies	none		Malvaceae
10319	Aizoaceae	Ruschia	sp.	no subspecies	none		Mesembryanthemaceae
10193	Pinaceae	Larix	sp.	no subspecies	none		Pinaceae
10348	Scrophulariaceae	Eremophila	sp.	no subspecies	none	R.Br.	Scrophulariaceae
14261	Myoporaceae	Eremophila	sp.	no subspecies	none	R.Br.	Scrophulariaceae
10321	Aizoaceae	Drosanthemum	sp.	no subspecies	none		Aizoaceae
10718	Asteraceae	Chrysothamnus	sp.	no subspecies	none		Asteraceae
