FieldHostUID	ColEventUID	HostNumber	FieldIdent	FieldNotes	CreateDate	UpdateDate	CreatedBy	UpdatedBy	TripUID	HostF	HostG	HostSp	HostSSp	HostAuthor	HostDetBy	HerbID	history
1605	11111	H256	NULL	NULL	2006-01-09	2006-11-24	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	203	1621	2369	0	2892	E G H Oliver	voucher-NYBG	Ericaceae;Erica;muscosa;(Ait.) E.G. H.Oliver;E G H Oliver;voucher-NYBG
1606	11111	H257	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	98	1811	2446	0	3068	J Manning	voucher-NYBG	Asteraceae;Stoebe;plumosa;(L.) Thunb.;J Manning;voucher-NYBG
1607	11111	H255	NULL	NULL	2006-01-09	2006-11-24	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1517	1851	0	3511	C Cupido	voucher-NYBG	Fabaceae;Aspalathus;abietina;Thurb.;C Cupido;voucher-NYBG
1608	11111	H258	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	32	1753	2038	0	3328	K Roux	voucher-NYBG	Thymelaeaceae;Passerina;corymbosa;Eckl. ex C.H. Wright;K Roux;voucher-NYBG
1609	11112	H262	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	379	1499	2552	0	3411	K Roux	voucher-NYBG	Rutaceae;Agathosma;serpyllacea;Licht. ex Roem. & Schult.;K Roux;voucher-NYBG
1610	11112	H258	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	32	1753	2038	0	3328	K Roux	voucher-NYBG	Thymelaeaceae;Passerina;corymbosa;Eckl. ex C.H. Wright;K Roux;voucher-NYBG
1611	11113	H265	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	352	1755	2331	0	3520	J Manning	voucher-NYBG	Poaceae;Pennisetum;macrourum;Trin.;J Manning;voucher-NYBG
1612	11113	H264	NULL	NULL	2006-01-09	2007-03-16	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	176	1785	2378	0	3098	C Cupido	voucher-NYBG	Cyperaceae;Pycreus;nitidus;(Lam.) J. Raynal;C Cupido;voucher-NYBG
1613	11113	H239	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	221	1754	2046	2874	3063	K Roux	voucher-NYBG	Geraniaceae;Pelargonium;cucullatum;x P. betulinum;(L.) L''Her.;K Roux;voucher-NYBG
1614	11113	H263	NULL	NULL	2006-01-09	2006-11-24	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1517	2010	0	1007	C Cupido	voucher-NYBG	Fabaceae;Aspalathus;ciliaris;L.;C Cupido;voucher-NYBG
1615	11114	H254	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	98	1523	793	0	2934	J Manning	voucher-NYBG	Asteraceae;Athanasia;juncea;(DC.) D. Dietr.;J Manning;voucher-NYBG
1616	11114	H253	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	98	1613	2500	0	3077	J Manning	voucher-NYBG	Asteraceae;Elytropappus;rhinocerotis;(L.f.) Less.;J Manning;voucher-NYBG
1617	11114	H252	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	32	1753	916	0	0	K Roux	voucher-NYBG	Thymelaeaceae;Passerina;sp.;K Roux;voucher-NYBG
1618	11114	H251	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	98	1523	2643	0	3061	J Manning	voucher-NYBG	Asteraceae;Athanasia;trifurcata;(L.) L.;J Manning;voucher-NYBG
1619	11114	H245	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	32	1753	2038	0	3328	K Roux	voucher-NYBG	Thymelaeaceae;Passerina;corymbosa;Eckl. ex C.H. Wright;K Roux;voucher-NYBG
1620	11115	H005	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	98	1536	2527	0	3081	NSW staff	NSW658214	Asteraceae;Bedfordia;salicina;(Labill.) DC.;NSW staff;NSW658214
1621	11116	H004	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	313	1624	709	0	3405	NSW staff	NSW658213	Myrtaceae;Eucalyptus;cordata;Labill.;NSW staff;NSW658213
1622	11117	H001	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	313	1696	2544	0	3383	NSW staff	NSW658210	Myrtaceae;Leptospermum;scoparium;J.R. Forst. & G. Forst.;NSW staff;NSW658210
1623	11117	H002	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	211	1749	1902	0	3470	NSW staff	NSW658211	Fabaceae;Oxylobium;arborescens;R.Br.;NSW staff;NSW658211
1624	11118	H003	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	32	1769	2548	0	3470	NSW staff	NSW658212	Thymelaeaceae;Pimelea;sericea;R.Br.;NSW staff;NSW658212
1625	11119	H009	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	373	1776	1893	0	3405	NSW staff	NSW658218	Rhamnaceae;Pomaderris;apetala;Labill.;NSW staff;NSW658218
1626	11119	H010	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	211	396	2067	2773	3414	NSW staff	NSW658219	Fabaceae;Acacia;dealbata;subsp. dealbata;Link;NSW staff;NSW658219
1627	11119	H008	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	211	396	2344	0	3470	NSW staff	NSW658217	Fabaceae;Acacia;melanoxylon;R.Br.;NSW staff;NSW658217
1628	11120	H007	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	61	1524	2546	0	3297	NSW staff	NSW658216	Taxodiaceae;Athrotaxis;selaginoides;D. Don;NSW staff;NSW658216
1629	11121	H006	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	68	1739	2051	0	3023	NSW staff	NSW658215	Fagaceae;Nothofagus;cunninghamii;(Hook.) Dersted;NSW staff;NSW658215
1630	11122	H011	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	313	1696	2278	0	3423	NSW staff	NSW658220	Myrtaceae;Leptospermum;lanigerum;Maiden & Betche;NSW staff;NSW658220
1631	11123	H012	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	211	396	2364	0	3532	NSW staff	NSW658221	Fabaceae;Acacia;mucronata;Willd. ex H.L. Wendl.;NSW staff;NSW658221
1632	11124	H013	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	171	1533	2519	0	3259	NSW staff	NSW658222	Cunoniaceae;Bauera;rubioides;Andrews;NSW staff;NSW658222
1633	11125	H014	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	203	1807	2239	0	3500	NSW staff	NSW658223	Ericaceae;Sprengelia;incarnata;Sm.;NSW staff;NSW658223
1634	11126	H018	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	327	1636	2232	0	0	NSW staff	NSW658227	Onagraceae;Fuchsia;hybrid;NSW staff;NSW658227
1635	11126	H017	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	211	396	2364	0	3532	NSW staff	NSW658226	Fabaceae;Acacia;mucronata;Willd. ex H.L. Wendl.;NSW staff;NSW658226
1636	11126	H016	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	211	396	2067	2773	3414	NSW staff	NSW658225	Fabaceae;Acacia;dealbata;subsp. dealbata;Link;NSW staff;NSW658225
1637	11127	H019	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	313	1696	2544	0	3383	NSW staff	NSW658228	Myrtaceae;Leptospermum;scoparium;J.R. Forst. & G. Forst.;NSW staff;NSW658228
1638	11128	H015	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	211	396	2067	0	3414	NSW staff	NSW658224	Fabaceae;Acacia;dealbata;Link;NSW staff;NSW658224
1639	11129	H024	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	313	1717	2589	0	3310	NSW staff	NSW658231	Myrtaceae;Melaleuca;squarrosa;Donn ex Sm.;NSW staff;NSW658231
1640	11129	H023	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	313	1696	2544	0	3383	NSW staff	NSW658233	Myrtaceae;Leptospermum;scoparium;J.R. Forst. & G. Forst.;NSW staff;NSW658233
1641	11129	H025	NULL	NULL	2006-01-09	NULL	Hewson-Smith, Sheridan	NULL	0	211	396	2364	0	3532	NSW staff	NSW658234	Fabaceae;Acacia;mucronata;Willd. ex H.L. Wendl.;NSW staff;NSW658234
